CIDADE;UF_CIDADE;TIPO
Morro Grande;SC;
Morro Grande (Araruama);RJ;Distrito
Morro Grande (Cachoeiro de Itapemirim);ES;Povoado
Morro Grande (Muitos Capões);RS;Distrito
Morro Inglês (Paranaguá);PR;Povoado
Morro Redondo;RS;
Morro Reuter;RS;
Morro Vermelho (Caeté);MG;Distrito
Morros;MA;
Mortugaba;BA;
Morumbi (Eldorado);MS;Distrito
Morungaba;SP;
Morungava (Gravataí);RS;Distrito
Mosquito (Amontada);CE;Distrito
Mossoró;RN;
Mossâmedes;GO;
Mostardas;RS;
Mostardas (Monte Alegre do Sul);SP;Distrito
Motuca;SP;
Moura (Barcelos);AM;Distrito
Mourão (Mariápolis);SP;Distrito
Moxotó (Ibimirim);PE;Distrito
Mozarlândia;GO;
Muaná;PA;
Mucajaí;RR;
Mucambo;CE;
Mucugê;BA;
Mucuri;BA;
Mucurici;ES;
Muitos Capões;RS;
Mulungu;CE;
Mulungu;PB;
Mulungu (Piquet Carneiro);CE;Distrito
Mulungu (Sanharó);PE;Distrito
Mulungu do Morro;BA;
Mumbaba (Massapê);CE;Distrito
Mundau (Trairi);CE;Distrito
Mundaú (Uruburetama);CE;Distrito
Mundo Novo;BA;
Mundo Novo;GO;
Mundo Novo;MS;
Mundo Novo (Campos Borges);RS;Distrito
Mundo Novo (Dores do Rio Preto);ES;Distrito
Mundo Novo de Minas (Aimorés);MG;Distrito
Munguba (Santana do Mundaú);AL;Distrito
Munguba (Trairi);CE;Distrito
Munhoz;MG;
Munhoz de Melo;PR;
Muniz Ferreira;BA;
Muniz Freire;ES;
Muqui;ES;
Muquém (Areia);PB;Distrito
Muquém (Mirabela);MG;Distrito
Muquém de São Francisco;BA;
Murajá (Curuçá);PA;Distrito
Muriaé;MG;
Muribeca;SE;
Muribeca (Santa Quitéria);CE;Distrito
Murici;AL;
Murici (Caruaru);PE;Povoado
Murici dos Portelas;PI;
Muricilândia;TO;
Muritiba;BA;
Murituba (Codajás);AM;Povoado
Murta (Passa Sete);RS;Distrito
Murucupi (Barcarena);PA;Distrito
Murumuru (Marabá);PA;Povoado
Murupé (Vicência);PE;Distrito
Murutinga (Autazes);AM;Distrito
Murutinga do Sul;SP;
Mussurepe (Campos dos Goytacazes);RJ;Distrito
Muta (Ponta de Pedras);PA;Distrito
Mutambeiras (Santana do Acaraú);CE;Distrito
Mutas (Guanambi);BA;Distrito
Mutuca (Pesqueira);PE;Distrito
Mutucal (Curuçá);PA;Distrito
Mutum;MG;
Mutum Paraná (Porto Velho);RO;Distrito
Mutunópolis;GO;
Mutuípe;BA;
Muzambinho;MG;
Muçum;RS;
Mágda;SP;
Mário Campos;MG;
Mâncio Lima;AC;
Mãe D'Água;PB;
Mãe do Rio;PA;
Mãe dos Homens (São Sebastião do Maranhão);MG;Distrito
Nacip Raydan;MG;
Nagé (Maragogipe);BA;Distrito
Nantes;SP;
Nanuque;MG;
Naque;MG;
Naque-Nanuque (Açucena);MG;Distrito
Narandiba;SP;
Narandiba (Alagoinhas);BA;Distrito
Naraniu (Várzea Alegre);CE;Distrito
Nascente (Amontada);CE;Distrito
Nascente (Araripina);PE;Distrito
Natal;RN;
Natal (Araguatins);TO;Distrito
Natalândia;MG;
Natingui (Ortigueira);PR;Distrito
Natividade;RJ;
Natividade;TO;
Natividade da Serra;SP;
Natuba;PB;
Natércia;MG;
Navegantes;SC;
Naviraí;MS;
Nazareno;MG;
Nazarezinho;PB;
Nazaré;BA;
Nazaré;TO;
Nazaré (Pocinhos);PB;Distrito
Nazaré (Porto Velho);RO;Distrito
Nazaré (Santiago);RS;Distrito
Nazaré da Mata;PE;
Nazaré de Minas (Nepomuceno);MG;Distrito
Nazaré de Mocajuba (Curuçá);PA;Distrito
Nazaré do Piauí;PI;
Nazaré dos Patos (Tucuruí);PA;Povoado
Nazaré Paulista;SP;
Nazária;PI;
Nazário;GO;
Negras (Itaíba);PE;Distrito
Nelson de Sena (São João Evangelista);MG;Distrito
Nenenlândia (Quixeramobim);CE;Distrito
Neolândia (Itapecerica);MG;Distrito
Nepomuceno;MG;
Nerópolis;GO;
Neves (Jucati);PE;Povoado
Neves Paulista;SP;
Neópolis;SE;
Nhamundá;AM;
Nhandeara;SP;
Nhandutiba (Manga);MG;Distrito
Nhecolândia (Corumbá);MS;Distrito
Nhunguaçu (Teresópolis);RJ;Distrito
Nicolau Vergueiro;RS;
Nicolândia (Resplendor);MG;Distrito
Nilo Peçanha;BA;
Nilza (Iporã);PR;Distrito
Nilópolis;RJ;
Nina Rodrigues;MA;
Ninheira;MG;
Nioaque;MS;
Nipoã;SP;
Niquelândia;GO;
Niterói;RJ;
Nobres;MT;
Nogueira (Avaí);SP;Distrito
Nonoai;RS;
Nonoai do Norte (Colíder);MT;Distrito
Nordestina;BA;
Nordestina (Amaporã);PR;Distrito
Normandia;RR;
Nortelândia;MT;
Nossa Senhora Aparecida;SE;
Nossa Senhora Aparecida (Andirá);PR;Distrito
Nossa Senhora Aparecida (Belo Jardim);PE;Povoado
Nossa Senhora Aparecida (Saldanha Marinho);RS;Distrito
Nossa Senhora Aparecida (Tunas);RS;Distrito
Nossa Senhora da Aparecida (Rolândia);PR;Distrito
Nossa Senhora da Aparecida (Sapucaia);RJ;Distrito
Nossa Senhora da Candelária (Bandeirantes);PR;Distrito
Nossa Senhora da Conceição (São Sebastião do Caí);RS;Distrito
Nossa Senhora da Glória;SE;
Nossa Senhora da Guia (Cuiabá);MT;Distrito
Nossa Senhora da Luz (São Lourenço da Mata);PE;Distrito
Nossa Senhora da Penha (Itaperuna);RJ;Distrito
Nossa Senhora da Saúde (Ibiraiaras);RS;Distrito
Nossa Senhora das Dores;SE;
Nossa Senhora das Graças;PR;
Nossa Senhora das Graças (Iúna);ES;Distrito
Nossa Senhora de Caravaggio (Nova Veneza);SC;Distrito
Nossa Senhora de Fátima (Bela Vista);MS;Distrito
Nossa Senhora de Fátima (Jaguaré);ES;Distrito
Nossa Senhora de Fátima (Lagoa Vermelha);RS;Distrito
Nossa Senhora de Fátima (Santo Augusto);RS;Distrito
Nossa Senhora de Lourdes;SE;
Nossa Senhora de Lourdes (Cascavel);PR;Povoado
Nossa Senhora de Nazaré;PI;
Nossa Senhora do Carmo (Pato Branco);PR;Povoado
Nossa Senhora do Carmo (Pombos);PE;Distrito
Nossa Senhora do Livramento;MT;
Nossa Senhora do Livramento (Monsenhor Tabosa);CE;Distrito
Nossa Senhora do Livramento (Santa Rita);PB;Distrito
Nossa Senhora do Remédio (Salesópolis);SP;Distrito
Nossa Senhora do Socorro;SE;
Nossa Senhora do Ó (Ipojuca);PE;Distrito
Nossa Senhora dos Remédios;PI;
Nova Alegria (Itamaraju);BA;Distrito
Nova Alexandria (Cândido Mota);SP;Distrito
Nova Aliança;SP;
Nova Aliança do Ivaí;PR;
Nova Altamira (Faxinal);PR;Distrito
Nova Alvorada;RS;
Nova Alvorada (Comodoro);MT;Distrito
Nova Alvorada do Sul;MS;
Nova Amoreira (Marilândia do Sul);PR;Distrito
Nova América;GO;
Nova América (Caarapó);MS;Distrito
Nova América (Itápolis);SP;Distrito
Nova América da Colina;PR;
Nova Andradina;MS;
Nova Araçá;RS;
Nova Aurora;GO;
Nova Aurora;PR;
Nova Bandeirantes;MT;
Nova Bassano;RS;
Nova Belém;MG;
Nova Betânia (Farias Brito);CE;Distrito
Nova Betânia (Nova Russas);CE;Distrito
Nova Bilac (Floraí);PR;Distrito
Nova Boa Vista;RS;
Nova Brasilândia;MT;
Nova Brasilândia D'Oeste;RO;
Nova Brasília (Araruna);PR;Distrito
Nova Brasília (Nova Xavantina);MT;Distrito
Nova Brasília (Ribeirão do Largo);BA;Distrito
Nova Brasília (Toledo);PR;Povoado
Nova Brasília do Itararé (Carlópolis);PR;Distrito
Nova Bréscia;RS;
Nova Califórnia (Porto Velho);RO;Distrito
Nova Campina;SP;
Nova Canaã;BA;
Nova Canaã do Norte;MT;
Nova Canaã Paulista;SP;
Nova Candelária;RS;
Nova Cantu;PR;
Nova Cardoso (Itajobi);SP;Distrito
Nova Casa Verde (Nova Andradina);MS;Distrito
Nova Castilho;SP;
Nova Catanduva (Rondonópolis);MT;Povoado
Nova Colina (Ji-Paraná);RO;Distrito
Nova Colinas;MA;
Nova Crixás;GO;
Nova Cruz;RN;
Nova Cruz (Igarassu);PE;Distrito
Nova Cultura (Papanduva);SC;Distrito
Nova Cáceres (Cáceres);MT;Distrito
Nova Descoberta (Petrolina);PE;Povoado
Nova Dimensão (Nova Mamoré);RO;Distrito
Nova Era;MG;
Nova Erechim;SC;
Nova Esperança;PR;
Nova Esperança (Cuiabá);MT;Distrito
Nova Esperança (Espigão do Oeste);RO;Distrito
Nova Esperança (Jateí);MS;Distrito
Nova Esperança (Montes Claros);MG;Distrito
Nova Esperança (Rio Negro);MS;Distrito
Nova Esperança do Piriá;PA;
Nova Esperança do Sudoeste;PR;
Nova Esperança do Sul;RS;
Nova Europa;SP;
Nova Floresta;PB;
Nova Floresta (Jaguaribe);CE;Distrito
Nova Friburgo;RJ;
Nova Fátima;BA;
Nova Fátima;PR;
Nova Fátima (Hidrolândia);GO;Distrito
Nova Fátima (Ipueiras);CE;Distrito
Nova Galileia (Rondonópolis);MT;Distrito
Nova Glória;GO;
Nova Granada;SP;
Nova Guarita;MT;
Nova Guarita (Sombrio);SC;Distrito
Nova Guataporanga;SP;
Nova Hartz;RS;
Nova Ibiá;BA;
Nova Iguaçu;RJ;
Nova Iguaçu de Goiás;GO;
Nova Independência;SP;
Nova Iorque;MA;
Nova Ipixuna;PA;
Nova Itaberaba;SC;
Nova Itaipê (Planaltino);BA;Distrito
Nova Itapirema (Nova Aliança);SP;Distrito
Nova Itarana;BA;
Nova Jales (Paranaíba);MS;Distrito
Nova Lacerda;MT;
Nova Laranjeiras;PR;
Nova Lima;MG;
Nova Londrina;PR;
Nova Londrina (Ji-Paraná);RO;Distrito
Nova Lourdes (São João);PR;Distrito
Nova Luzitânia;SP;
Nova Lídice (Medeiros Neto);BA;Distrito
Nova Mamoré;RO;
Nova Marilândia;MT;
Nova Maringá;MT;
Nova Milano (Farroupilha);RS;Distrito
Nova Minda (Japonvar);MG;Distrito
Nova Mocajuba (Bragança);PA;Distrito
Nova Monte Verde;MT;
Nova Mutum;MT;
Nova Módica;MG;
Nova Nazaré;MT;
Nova Odessa;SP;
Nova Olinda;CE;
Nova Olinda;PB;
Nova Olinda;TO;
Nova Olinda do Maranhão;MA;
Nova Olinda do Norte;AM;
Nova Olímpia;MT;
Nova Olímpia;PR;
Nova Palma;RS;
Nova Palmeira;PB;
Nova Petrópolis;RS;
Nova Petrópolis (Joaçaba);SC;Distrito
Nova Ponte;MG;
Nova Porteirinha;MG;
Nova Prata;RS;
Nova Prata do Iguaçu;PR;
Nova Primavera (Canabrava do Norte);MT;Distrito
Nova Pádua;RS;
Nova Pátria (Presidente Bernardes);SP;Distrito
Nova Ramada;RS;
Nova Redenção;BA;
Nova Resende;MG;
Nova Riqueza (Pinhal de São Bento);PR;Povoado
Nova Roma;GO;
Nova Roma do Sul;RS;
Nova Rosalândia;TO;
Nova Russas;CE;
Nova Santa Bárbara;PR;
Nova Santa Cruz (Mauriti);CE;Distrito
Nova Santa Helena;MT;
Nova Santa Helena (Iporã);PR;Distrito
Nova Santa Luzia (Crisólita);MG;Distrito
Nova Santa Rita;PI;
Nova Santa Rita;RS;
Nova Santa Rosa;PR;
Nova Sardenha (Farroupilha);RS;Distrito
Nova Serrana;MG;
Nova Soure;BA;
Nova Tebas;PR;
Nova Teutônia (Seara);SC;Distrito
Nova Timboteua;PA;
Nova Tirol (Piraquara);PR;Povoado
Nova Tramandaí (Tramandaí);RS;Distrito
Nova Trento;SC;
Nova Ubiratã;MT;
Nova União;MG;
Nova União;RO;
Nova Veneza;GO;
Nova Veneza;SC;
Nova Veneza (Ubajara);CE;Distrito
Nova Venécia;ES;
Nova Vida (Ibaretama);CE;Distrito
Nova Videira (Toledo);PR;Povoado
Nova Viçosa;BA;
Nova Xavantina;MT;
Novais;SP;
Novilhona (Novo Cruzeiro);MG;Distrito
Novo Acordo;TO;
Novo Acre (Iramaia);BA;Distrito
Novo Airão;AM;
Novo Alegre;TO;
Novo Aripuanã;AM;
Novo Assis (Parambu);CE;Distrito
Novo Barreiro;RS;
Novo Brasil;GO;
Novo Brasil (Governador Lindenberg);ES;Distrito
Novo Cabrais;RS;
Novo Cravinhos (Pompéia);SP;Distrito
Novo Cruzeiro;MG;
Novo Céu (Autazes);AM;Povoado
Novo Diamantino (Diamantino);MT;Distrito
Novo Eldorado (Tapurah);MT;Distrito
Novo Goiás (Novo Brasil);GO;Distrito
Novo Hamburgo;RS;
Novo Horizonte;BA;
Novo Horizonte;SC;
Novo Horizonte;SP;
Novo Horizonte (Araguaína);TO;Povoado
Novo Horizonte (Ataléia);MG;Distrito
Novo Horizonte (Cascavel);PR;Povoado
Novo Horizonte (Ecoporanga);ES;Distrito
Novo Horizonte (Marechal Cândido Rondon);PR;Distrito
Novo Horizonte (Ocara);CE;Distrito
Novo Horizonte (Salto do Jacuí);RS;Distrito
Novo Horizonte do Norte;MT;
Novo Horizonte do Oeste;RO;
Novo Horizonte do Sul;MS;
Novo Itacolomi;PR;
Novo Jardim;TO;
Novo Jardim (Japira);PR;Distrito
Novo Lino;AL;
Novo Machado;RS;
Novo Mato Grosso (Nova Ubiratã);MT;Distrito
Novo Mundo;MT;
Novo Nilo (União);PI;Povoado
Novo Oriente;CE;
Novo Oriente de Minas;MG;
Novo Oriente do Piauí;PI;
Novo Paraná (Porto dos Gaúchos);MT;Distrito
Novo Paraíso (Caracaraí);RR;Distrito
Novo Paraíso (Estrela);RS;Distrito
Novo Planalto;GO;
Novo Planalto (Redenção);PA;Povoado
Novo Planalto (Tiradentes do Sul);RS;Distrito
Novo Progresso;PA;
Novo Remanso (Itacoatiara);AM;Povoado
Novo Repartimento;PA;
Novo Santo Antônio;MT;
Novo Santo Antônio;PI;
Novo Sarandi (Toledo);PR;Distrito
Novo Sobradinho (Toledo);PR;Distrito
Novo São Joaquim;MT;
Novo Tiradentes;RS;
Novo Triunfo;BA;
Novo Três Passos (Marechal Cândido Rondon);PR;Distrito
Novo Xingu;RS;
Novorizonte;MG;
Ns2 Núcleo de Serviços (Petrolina);PE;Povoado
Nuguaçu (Mirangaba);BA;Distrito
Nuporanga;SP;
Não-Me-Toque;RS;
Nísia Floresta;RN;
Núcleo Colonial Pio XII (Guaiúba);CE;Distrito
Núcleo N 2 (Sousa);PB;Povoado
Núcleo N 3 (Sousa);PB;Povoado
Núcleo Residencial Pilar (Jaguarari);BA;Povoado
Núcleo Urbano Quilômetro 30 (Itaituba);PA;Povoado
Ocara;CE;
Ocauçu;SP;
Ocidente (Mutum);MG;Distrito
Odilândia (Santa Rita);PB;Povoado
Oeiras;PI;
Oeiras do Pará;PA;
Oiapoque;AP;
Oiticica (Crateús);CE;Distrito
Oiticica (Ibaretama);CE;Distrito
Oiticica (Parambu);CE;Distrito
Olaria;MG;
Olaria (Cascavel);PR;Povoado
Olaria (Telêmaco Borba);PR;Povoado
Olaria do Angico (Itarumã);GO;Distrito
Olho Agudo (São José dos Pinhais);PR;Povoado
Olho D'Água;PB;
Olho d'Água (Castro);PR;Povoado
Olho D'Água (Mauriti);CE;Distrito
Olho D'Água das Cunhãs;MA;
Olho D'Água das Flores;AL;
Olho D'Água de Cima (Arapiraca);AL;Povoado
Olho D'Água de Dentro (Canhotinho);PE;Distrito
Olho D'água do Bezerril (Boa Viagem);CE;Distrito
Olho D'Água do Casado;AL;
Olho D'Água do Piauí;PI;
Olho D'Água Grande;AL;
Olho-D'Água da Bica (Tabuleiro do Norte);CE;Distrito
Olho-D'Água do Borges;RN;
Olhos D'Água;MG;
Olhos D'Água (Alexânia);GO;Distrito
Olhos D'Água (Catalão);GO;Povoado
Olhos D'Água do Oeste (João Pinheiro);MG;Distrito
Olhos D'Água do Seco (Ibitiara);BA;Distrito
Olhos D'Água do Serafim (Novo Horizonte);BA;Distrito
Olhos Dágua (Cônego Marinho);MG;Distrito
Olinda;PE;
Olinda Nova do Maranhão;MA;
Olindina;BA;
Olivedos;PB;
Oliveira;MG;
Oliveira Barros (Miracatu);SP;Distrito
Oliveira de Fátima;TO;
Oliveira dos Brejinhos;BA;
Oliveira Fortes;MG;
Oliveiras (Tamboril);CE;Distrito
Olivença;AL;
Olímpia;SP;
Olímpio Campos (São João da Ponte);MG;Distrito
Olímpio Noronha;MG;
Onda Branca (Nova Granada);SP;Distrito
Onda Verde;SP;
Onha (Muniz Ferreira);BA;Distrito
Onça de Pitangui;MG;
Oralina (Salto do Jacuí);RS;Distrito
Oratório (Casinhas);PE;Distrito
Oratórios;MG;
Ori (Serrita);PE;Distrito
Oriente;SP;
Oriente (Aparecida do Taboado);MS;Distrito
Oriente Novo (Jequié);BA;Distrito
Orindiúva;SP;
Oriximiná;PA;
Orizona;GO;
Orizânia;MG;
Orleans;SC;
Orlândia;SP;
Orobó;PE;
Orocó;PE;
Ortigueira;PR;
Orós;CE;
Osasco;SP;
Oscar Bressane;SP;
Osvaldilândia (Redenção);PA;Povoado
Osvaldo Cruz;SP;
Osvaldo Cruz (Frederico Westphalen);RS;Distrito
Osvaldo Kroeff (Cambará do Sul);RS;Distrito
Osório;RS;
Osório da Fonseca (Maués);AM;Distrito
Otacílio Costa;SC;
Otávio Rocha (Flores da Cunha);RS;Distrito
Ouricana (Canavieiras);BA;Distrito
Ouricuri;PE;
Ouricuri do Ouro (Brotas de Macaúbas);BA;Distrito
Ourilândia (Barbosa Ferraz);PR;Distrito
Ourilândia do Norte;PA;
Ourinhos;SP;
Ourizona;PR;
Ouriçangas;BA;
Ouro;SC;
Ouro Branco;AL;
Ouro Branco;MG;
Ouro Branco;RN;
Ouro Fino;MG;
Ouro Preto;MG;
Ouro Preto (Toledo);PR;Povoado
Ouro Preto do Oeste;RO;
Ouro Velho;PB;
Ouro Verde;SC;
Ouro Verde;SP;
Ouro Verde (Guaraciaba);SC;Distrito
Ouro Verde (Sengés);PR;Distrito
Ouro Verde de Goiás;GO;
Ouro Verde de Minas;MG;
Ouro Verde do Oeste;PR;
Ouro Verde do Piquiri (Corbélia);PR;Distrito
Ouroana (Rio Verde);GO;Distrito
Ouroeste;SP;
Ourolândia;BA;
Ourânia (Natividade);RJ;Distrito
Ourém;PA;
Outeiro Redondo (São Félix);BA;Distrito
Ouvidor;GO;
Oásis (Tupi Paulista);SP;Distrito
Pacaembu;SP;
Pacajus;CE;
Pacajá;PA;
Pacaraima;RR;
Pacatuba;CE;
Pacatuba;SE;
Pacheca (Camaquã);RS;Distrito
Paciência (Porteirinha);MG;Distrito
Pacoti;CE;
Pacotuba (Cachoeiro de Itapemirim);ES;Distrito
Pacoval (Prainha);PA;Distrito
Pacujá;CE;
Padilha (Taquara);RS;Distrito
Padre Bernardo;GO;
Padre Carvalho;MG;
Padre Cícero (Juazeiro do Norte);CE;Distrito
Padre Felisberto (Amparo da Serra);MG;Distrito
Padre Fialho (Matipó);MG;Distrito
Padre Gonzales (Três Passos);RS;Distrito
Padre João Afonso (Itamarandiba);MG;Distrito
Padre Júlio Maria (Alto Jequitibá);MG;Distrito
Padre Linhares (Massapê);CE;Distrito
Padre Marcos;PI;
Padre Paraíso;MG;
Padre Pinto (Rio Piracicaba);MG;Distrito
Padre Ponciano (Coronel Domingos Soares);PR;Distrito
Padre Viegas (Mariana);MG;Distrito
Padre Vieira (Viçosa do Ceará);CE;Distrito
Padronal (Comodoro);MT;Distrito
Paes Landim;PI;
Pai André (Várzea Grande);MT;Povoado
Pai João (Aratuba);CE;Distrito
Pai Pedro;MG;
Paiaguás (Corumbá);MS;Distrito
Paial;SC;
Paim Filho;RS;
Paineiras;MG;
Paineiras (Itapemirim);ES;Povoado
Painel;SC;
Pains;MG;
Pains (Santa Maria);RS;Distrito
Paiol (Jacaraci);BA;Distrito
Paiol de Baixo (Campina Grande do Sul);PR;Distrito
Paiol Queimado (Castro);PR;Povoado
Paiolinho (Poço Fundo);MG;Distrito
Paiquerê (Londrina);PR;Distrito
Paiva;MG;
Paiçandu;PR;
Pajeú (Araripe);CE;Distrito
Pajeú (Serra Talhada);PE;Distrito
Pajeú do Piauí;PI;
Pajeú do Vento (Caetité);BA;Distrito
Palame (Esplanada);BA;Distrito
Palanque (Venâncio Aires);RS;Distrito
Palestina;AL;
Palestina;SP;
Palestina (Mauriti);CE;Distrito
Palestina (Novo Oriente);CE;Distrito
Palestina (Orós);CE;Distrito
Palestina de Goiás;GO;
Palestina do Norte (Meruoca);CE;Distrito
Palestina do Pará;PA;
Palhano;CE;
Palhoça;SC;
Palma;MG;
Palma (Santa Maria);RS;Distrito
Palma Sola;SC;
Palmares;PE;
Palmares (Itapetinga);BA;Povoado
Palmares (Riachão do Dantas);SE;Distrito
Palmares (Tailândia);PA;Distrito
Palmares do Sul;RS;
Palmares Paulista;SP;
Palmas;PR;
Palmas;TO;
Palmas (Arroio do Meio);RS;Distrito
Palmas (Bagé);RS;Distrito
Palmas de Monte Alto;BA;
Palmatória (Caruaru);PE;Povoado
Palmatória (Itapiúna);CE;Distrito
Palmeira;PR;
Palmeira;SC;
Palmeira (Itaguaçu);ES;Distrito
Palmeira D'Oeste;SP;
Palmeira das Missões;RS;
Palmeira de Fora (Palmeira dos Índios);AL;Povoado
Palmeira do Piauí;PI;
Palmeira dos Índios;AL;
Palmeirais;PI;
Palmeiral (Botelhos);MG;Distrito
Palmeirante;TO;
Palmeiras;BA;
Palmeiras (Dois Irmãos do Buriti);MS;Distrito
Palmeiras (Nova Mamoré);RO;Distrito
Palmeiras (Tabatinga);AM;Povoado
Palmeiras de Goiás;GO;
Palmeiras do Tocantins;TO;
Palmeirina;PE;
Palmeirinha (Castro);PR;Povoado
Palmeirinha (Guarapuava);PR;Distrito
Palmeirinha (Unaí);MG;Distrito
Palmeirândia;MA;
Palmeirópolis;TO;
Palmelo;GO;
Palmerino (Alto Rio Novo);ES;Distrito
Palminópolis;GO;
Palmira (São João do Triunfo);PR;Distrito
Palmital;PR;
Palmital;SP;
Palmital (Castro);PR;Povoado
Palmital de Minas (Cabeceira Grande);MG;Distrito
Palmital de São Silvestre (Campo Largo);PR;Distrito
Palmital dos Carvalhos (Senhora dos Remédios);MG;Distrito
Palmitinho;RS;
Palmitos;SC;
Palmitópolis (Nova Aurora);PR;Distrito
Palmácia;CE;
Palmópolis;MG;
Palotina;PR;
Pampeiro (Santana do Livramento);RS;Distrito
Pana (Nova Alvorada do Sul);MS;Distrito
Panacuí (Marco);CE;Distrito
Panambi;RS;
Panambi (Dourados);MS;Distrito
Panamá;GO;
Pancas;ES;
Panelas;PE;
Panema (Santa Mariana);PR;Distrito
Pangaré (Quitandinha);PR;Distrito
Panorama;SP;
Panorâmica (Montes Claros);MG;Distrito
Pantano Grande;RS;
Papagaio (Barra do Corda);MA;Distrito
Papagaio (Pesqueira);PE;Distrito
Papagaios Novos (Palmeira);PR;Distrito
Papanduva;SC;
Papara (Maranguape);CE;Distrito
Papucaia (Cachoeiras de Macacu);RJ;Povoado
Paquequer Pequeno (Teresópolis);RJ;Distrito
Paquetá;PI;
Paquevira (Canhotinho);PE;Distrito
Paracambi;RJ;
Paracatu;MG;
Paracuru;CE;
Paracuá (Uruoca);CE;Distrito
Parafuso (Camaçari);BA;Povoado
Paragominas;PA;
Paraguai (Cajuri);MG;Distrito
Paraguaçu;MG;
Paraguaçu Paulista;SP;
Paraibano;MA;
Paraibuna;SP;
Paraipaba;CE;
Paraiso (Catunda);CE;Distrito
Paraisolândia (Charqueada);SP;Distrito
Paraisópolis;MG;
Paraju (Domingos Martins);ES;Distrito
Parajuru (Beberibe);CE;Distrito
Parambu;CE;
Paramirim;BA;
Paramoti;CE;
Paranabi (Ilhabela);SP;Distrito
Paranacity;PR;
Paranagi (Sertaneja);PR;Distrito
Paranaguá;PR;
Paranaiguara;GO;
Paranaitá;MT;
Paranapanema;SP;
Paranapoema;PR;
Paranapuã;SP;
Paranatama;PE;
Paranatinga;MT;
Paranavaí;PR;
Paranaíba;MS;
Paranhos;MS;
Paraná;RN;
Paraná d'Oeste (Moreira Sales);PR;Distrito
Paranã;TO;
Paraopeba;MG;
Paraoquena (Santo Antônio de Pádua);RJ;Distrito
Parapeúna (Valença);RJ;Distrito
Parapuã;SP;
Parapuí (Santana do Acaraú);CE;Distrito
Parari;PB;
Parateca (Malhada);BA;Distrito
Parati Mirim (Paraty);RJ;Distrito
Paratinga;BA;
Paratins (Marabá);PA;Povoado
Paraty;RJ;
Parauapebas;PA;
Parazinho;RN;
Parazinho (Granja);CE;Distrito
Paraí;RS;
Paraíba do Sul;RJ;
Paraíso;SC;
Paraíso;SP;
Paraíso das Águas;MS;
Paraíso do Leste (Poxoréu);MT;Distrito
Paraíso do Norte;PR;
Paraíso do Sul;RS;
Paraíso do Tobias (Miracema);RJ;Distrito
Paraíso do Tocantins;TO;
Paraíso Garcia (Santa Rita do Ibitipoca);MG;Distrito
Paraú;RN;
Paraúna;GO;
Pardinho;SP;
Pareci Novo;RS;
Parecis;RO;
Paredão (Ferreira Gomes);AP;Distrito
Paredão de Minas (Buritizeiro);MG;Distrito
Parelhas;RN;
Paricatuba (Iranduba);AM;Distrito
Pariconha;AL;
Parintins;AM;
Paripiranga;BA;
Paripueira;AL;
Paripueira (Beberibe);CE;Distrito
Pariquera-Açu;SP;
Parisi;SP;
Parnaguá;PI;
Parnamirim;PE;
Parnamirim;RN;
Parnarama;MA;
Parnaíba;PI;
Parobé;RS;
Parque Durval de Barros (Ibirité);MG;Distrito
Parque Eldorado (Eldorado do Sul);RS;Distrito
Parque Água Limpa (Nova Ubiratã);MT;Distrito
Paruru (Ibiúna);SP;Distrito
Pará (Santa Cruz do Capibaribe);PE;Distrito
Pará de Minas;MG;
Pascoal (Pacajus);CE;Distrito
Passa Dez (Bom Jesus do Galho);MG;Distrito
Passa e Fica;RN;
Passa Quatro;MG;
Passa Sete;RS;
Passa Tempo;MG;
Passa Três (Rio Claro);RJ;Distrito
Passa Una (Araucária);PR;Povoado
Passa Vinte;MG;
Passabém;MG;
Passagem;PB;
Passagem;RN;
Passagem (Chaval);CE;Distrito
Passagem (Quixeramobim);CE;Distrito
Passagem da Conceição (Várzea Grande);MT;Distrito
Passagem de Mariana (Mariana);MG;Distrito
Passagem do Tó (Jataúba);PE;Distrito
Passagem dos Teixeiras (Candeias);BA;Distrito
Passagem Franca;MA;
Passagem Franca do Piauí;PI;
Passagem Funda (Aracoiaba);CE;Distrito
Passinhos (Osório);RS;Distrito
Passira;PE;
Passo Amarelo (Fazenda Rio Grande);PR;Povoado
Passo Burmann (Catuípe);RS;Distrito
Passo da Areia (Viamão);RS;Distrito
Passo da Caveira (Gravataí);RS;Povoado
Passo da Ilha (Pato Branco);PR;Povoado
Passo das Pedras (Capão do Leão);RS;Distrito
Passo de Camaragibe;AL;
Passo de Torres;SC;
Passo do Adão (Rio Pardo);RS;Distrito
Passo do Carro (Monte Alegre dos Campos);RS;Distrito
Passo do Goulart (Maçambará);RS;Distrito
Passo do Mendonça (Cristal);RS;Distrito
Passo do Sabão (Viamão);RS;Distrito
Passo do Sobrado;RS;
Passo do Verde (Santa Maria);RS;Distrito
Passo dos Pupos (Ponta Grossa);PR;Povoado
Passo Fundo;RS;
Passo Fundo (Campo Largo);PR;Povoado
Passo Liso (Laranjeiras do Sul);PR;Distrito
Passo Manso (Taió);SC;Distrito
Passo Novo (Alegrete);RS;Distrito
Passo Raso (Triunfo);RS;Distrito
Passo Real (Salto do Jacuí);RS;Distrito
Passo Real de Candiota (Candiota);RS;Distrito
Passos;MG;
Passos Maia;SC;
Passé (Candeias);BA;Distrito
